"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",1,0,0,0,0.247619047619048,0.024232633279483,0,0.0579470198675497,0.979066022544283,0,0,0,0.453947368421053,0,0,0,0,0,0,0,0.135842880523732,0,0.978547854785479,0,0,0,0,0,0,0.018957345971564,0.00164744645799012,0,0.0493630573248408
"2",0,1,0,0,0,0,0.403508771929825,0,0,0.294019933554817,0,0.00500834724540901,0,0.0596026490066225,0.0631067961165049,0.242070116861436,0,0,0,0,0,0.155258764607679,0,0.100328947368421,0,0.321428571428571,0.00654664484451719,0.0873146622734761,0.0032258064516129,0,0.00665557404326123,0.333333333333333,0
"3",0,0,1,0,0,0,0,0,0,0,0.00791139240506329,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.105678233438486,0,0,0
"5",0.247619047619048,0,0,0,1,0.723127035830619,0,0.71900826446281,0.161030595813205,0,0,0,1,0,0,0,0,0,0,0,0,0,0.124394184168013,0,0,0,0,0,0,0,0,0,0
"6",0.024232633279483,0,0,0,0.723127035830619,1,0,1,0.00658978583196046,0,0,0,0.495033112582781,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0
"7",0,0.403508771929825,0,0,0,0,1,0,0,0.271565495207668,0,0.153968253968254,0,0,0.684952978056426,0.998384491114701,0,0,0,0,0.00321027287319422,0.0302547770700637,0,0.0112540192926045,0,1,0.482142857142857,0.00645161290322581,0.44104134762634,0,0.0881410256410256,1,0
"8",0.0579470198675497,0,0,0,0.71900826446281,1,0,1,0.0213815789473684,0,0,0,0.529021558872305,0,0,0,0,0,0,0,0,0,0.00503355704697987,0,0,0,0,0,0,0,0,0,0
"9",0.979066022544283,0,0,0,0.161030595813205,0.00658978583196046,0,0.0213815789473684,1,0,0.00485436893203883,0,0.341584158415842,0,0,0,0,0,0,0,0.127272727272727,0,1,0,0,0,0,0,0,0.0935023771790808,0,0,0.032
"10",0,0.294019933554817,0,0,0,0,0.271565495207668,0,0,1,0,0.00492610837438424,0,0.043046357615894,0.0145867098865478,0.107438016528926,0,0,0.152684563758389,0,0,0.124378109452736,0,0.0527182866556837,0,0.278501628664495,0.00163398692810458,0.0231023102310231,0,0,0.0149750415973378,0.222591362126246,0.561797752808989
"11",0,0,0.00791139240506329,0,0,0,0,0,0.00485436893203883,0,1,0.00165289256198347,0,0,0,0,0.0033003300330033,0.0066334991708126,0,0.0110759493670886,0.00501672240802676,0,0.00167224080267559,0,0.00321027287319422,0,0.0016750418760469,0,0,0,0,0,0.0791599353796446
"12",0,0.00500834724540901,0,0,0,0,0.153968253968254,0,0,0.00492610837438424,0.00165289256198347,1,0,0.281879194630872,0.454545454545455,0.232520325203252,0,0,0,0,0.936348408710218,0.211666666666667,0,0.237541528239203,0,0.229402261712439,0.611486486486487,0.285240464344942,0.725239616613419,0,1,0.218697829716194,0.00643086816720257
"13",0.453947368421053,0,0,0,1,0.495033112582781,0,0.529021558872305,0.341584158415842,0,0,0,1,0,0,0,0,0,0,0,0.0135363790186125,0,0.303691275167785,0,0,0,0,0,0,0,0,0,0
"14",0,0.0596026490066225,0,0,0,0,0,0,0,0.043046357615894,0,0.281879194630872,0,1,0,0,0,0,0.00166666666666667,0,0.397350993377483,1,0,1,0,0,0.00333889816360601,1,0.0176848874598071,0,0.43906510851419,0,0.00323101777059774
"15",0,0.0631067961165049,0,0,0,0,0.684952978056426,0,0,0.0145867098865478,0,0.454545454545455,0,0,1,0.85024154589372,0,0,0,0,0.205787781350482,0,0,0.00161550888529887,0,0.741573033707865,1,0,0.87789799072643,0,0.279801324503311,0.712241653418124,0
"16",0,0.242070116861436,0,0,0,0,0.998384491114701,0,0,0.107438016528926,0,0.232520325203252,0,0,0.85024154589372,1,0,0,0,0,0.0345963756177924,0.0216666666666667,0,0.00823723228995058,0,0.998360655737705,0.678104575163399,0.00164744645799012,0.61698717948718,0,0.139495798319328,0.998373983739837,0
"17",0,0,1,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"18",0,0,1,0,0,0,0,0,0,0,0.0066334991708126,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",0,0,0,1,0,0,0,0,0,0.152684563758389,0,0,0,0.00166666666666667,0,0,0,0,1,0,0,0.00166666666666667,0,0,0,0,0,0,0,0.0495207667731629,0,0,0
"20",0,0,1,0,0,0,0,0,0,0,0.0110759493670886,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0.135842880523732,0,0,0,0,0,0.00321027287319422,0,0.127272727272727,0,0.00501672240802676,0.936348408710218,0.0135363790186125,0.397350993377483,0.205787781350482,0.0345963756177924,0,0,0,0,1,0.302479338842975,0.116968698517298,0.375617792421746,0,0.0311986863711002,0.384353741496599,0.389525368248772,0.470774091627172,0,0.966101694915254,0.0350584307178631,0.0273311897106109
"22",0,0.155258764607679,0,0,0,0,0.0302547770700637,0,0,0.124378109452736,0,0.211666666666667,0,1,0,0.0216666666666667,0,0,0.00166666666666667,0,0.302479338842975,1,0,1,0,0.0275080906148867,0,1,0.00483091787439614,0,0.375634517766497,0.0264900662251656,0
"23",0.978547854785479,0,0,0,0.124394184168013,0.00497512437810945,0,0.00503355704697987,1,0,0.00167224080267559,0,0.303691275167785,0,0,0,0,0,0,0,0.116968698517298,0,1,0,0,0,0,0,0,0.102564102564103,0.00665557404326123,0,0.0387096774193548
"24",0,0.100328947368421,0,0,0,0,0.0112540192926045,0,0,0.0527182866556837,0,0.237541528239203,0,1,0.00161550888529887,0.00823723228995058,0,0,0,0,0.375617792421746,1,0,1,0,0.00825082508250825,0.00501672240802676,1,0.0161030595813204,0,0.402027027027027,0.0115131578947368,0.00654664484451719
